X1,X2,Y
85,20,1
52,44,0
44,83,1
84,61,1
5,27,1
80,62,1
78,90,1
5,98,1
62,97,1
80,91,1
62,94,1
63,38,1
8,30,1
63,10,1
81,68,1
64,13,1
64,22,1
81,88,1
67,45,1
78,11,1
47,29,0
86,36,1
48,41,0
60,21,0
17,73,1
42,66,1
4,60,1
98,0,1
98,65,1
6,28,1
18,42,1
53,1,1
21,18,1
62,66,1
61,99,1
79,59,1
2,13,1
25,45,0
82,88,1
90,0,1
64,50,1
18,32,1
76,37,1
34,44,0
70,7,1
41,68,1
9,54,1
44,72,1
84,62,1
56,79,1
10,94,1
100,24,1
75,27,1
47,56,0
28,50,0
10,41,1
93,8,1
97,38,1
42,0,1
51,66,1
3,96,1
81,18,1
18,2,1
53,32,0
35,18,1
79,16,1
3,57,1
43,7,1
7,83,1
44,43,0
70,78,1
50,0,1
33,51,0
84,13,1
93,88,1
89,14,1
53,93,1
71,56,1
37,10,1
10,41,1
49,9,1
5,96,1
17,9,1
68,79,1
98,87,1
7,3,1
75,12,1
29,89,1
76,49,1
69,18,1
64,72,1
64,87,1
8,78,1
17,79,1
39,91,1
3,12,1
16,63,1
11,38,1
91,13,1
54,91,1
